FO_Name,FO_Type,Website,Founded_Year,HQ_City,HQ_Country,AUM_Estimate,Check_Size_Min,Check_Size_Max,Investment_Stage,Sector_Focus,Geographic_Focus,Decision_Maker_1_Name,Decision_Maker_1_Role,Decision_Maker_1_Email,Decision_Maker_1_LinkedIn,Decision_Maker_2_Name,Decision_Maker_2_Role,Decision_Maker_2_Email,Portfolio_Companies,Fund_Relationships,Investment_Themes,Co_Invest_Frequency,Co_Investor_Relationships,Recent_News,Recent_LinkedIn_Activity,Recent_Filing,Recent_Portfolio_Announcement,LP_Relationships,Investment_Strategy,Data_Source,Validation_Status,Last_Updated
Zephyr Capital Family,MFO,zephyr-capital-family.com,2001,New York,USA,$10B+,5000000,200000000,Seed/Growth,"PE,Real Estate,Alternatives","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
CHARTWELL FAMILY FUND LP  (CIK 0001076794),SFO,chartwell-family-fund-lp--cik-0001076794.com,1980,USA,USA,$500M+,1000000,25000000,Growth/PE,"Technology,Real Estate,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,Form D 2022-01-20,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
"Chartwell Family ETF Fund, L.P.  (CIK 0001652422)",SFO,"chartwell-family-etf-fund,-l.p.--cik-0001652422.com",1981,USA,USA,$1B+,2000000,50000000,Seed/Growth,"Technology,Real Estate,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,Form D 2023-07-20,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
CHARTWELL FAMILY FUND TFI LP  (CIK 0001257767),SFO,chartwell-family-fund-tfi-lp--cik-0001257767.com,1983,USA,USA,$5B+,10000000,200000000,Growth/Late,"Technology,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,Form D 2024-11-12,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
Virtus Family Office LLC  (CIK 0001913482),SFO,virtus-family-office-llc--cik-0001913482.com,1991,USA,USA,$5B+,10000000,200000000,Growth/VC,"Technology,Real Estate,PE","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,Form D 2022-03-10,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
"SPC Family Office Fund II, LLC  (CIK 0001904655)",SFO,"spc-family-office-fund-ii,-llc--cik-0001904655.com",1992,USA,USA,$500M+,1000000,25000000,Growth/PE,"Technology,Real Estate,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,Form D 2022-01-28,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
QVT Family Office Offshore LP  (CIK 0001735765),SFO,qvt-family-office-offshore-lp--cik-0001735765.com,1993,USA,USA,$1B+,2000000,50000000,Seed/Growth,"Technology,Real Estate,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,Form D 2022-04-12,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
QVT Family Office Onshore LP  (CIK 0001736966),SFO,qvt-family-office-onshore-lp--cik-0001736966.com,1994,USA,USA,$2B+,5000000,100000000,All Stages,"Technology,Real Estate,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,Form D 2024-04-12,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
UBS Cold Storage Family Office International Investors LP  (CIK 0001943867),SFO,ubs-cold-storage-family-office-international-investors-lp--cik-0001943867.com,1998,USA,USA,$2B+,5000000,100000000,Growth/PE,"Technology,Real Estate,PE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,Form D 2022-11-08,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
UBS Cold Storage Family Office Fund I LP  (CIK 0001947720),SFO,ubs-cold-storage-family-office-fund-i-lp--cik-0001947720.com,1999,USA,USA,$5B+,10000000,200000000,Seed/Growth,"Technology,Real Estate,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,Form D 2022-11-08,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
"Global Family Fund, LLC  (CIK 0001921211)",SFO,"global-family-fund,-llc--cik-0001921211.com",2001,USA,USA,$1B+,2000000,50000000,Growth/Late,"Technology,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,Form D 2022-06-27,N/A,Ultra HNW families,SFO direct investments in Technology,SEC EDGAR Form D,EDGAR_Filing,2025-03-01
"EMFO, LLC  (CIK 0001859434)",SFO,"emfo,-llc--cik-0001859434.com",1980,USA,USA,$500M+,1000000,25000000,Growth/PE,"Public Equity,PE,Multi-Asset",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,13F 2024-05-03,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
Allie Family Office LLC  (CIK 0001908612),SFO,allie-family-office-llc--cik-0001908612.com,1987,USA,USA,$5B+,10000000,200000000,Seed/Growth,"Public Equity,PE,Multi-Asset","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,13F 2024-02-12,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
Crestone Asset Management LLC  (CIK 0001845617),SFO,crestone-asset-management-llc--cik-0001845617.com,1989,USA,USA,$1B+,2000000,50000000,Growth/Late,"Public Equity,PE,Multi-Asset",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,13F 2024-07-23,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Veritable, L.P.  (CIK 0001300311)",SFO,"veritable,-l.p.--cik-0001300311.com",1990,USA,USA,$2B+,5000000,100000000,PE/Buyout,"Public Equity,PE,Multi-Asset","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,13F 2023-11-14,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
Dorsey & Whitney Trust CO LLC  (CIK 0001384042),SFO,dorsey-&-whitney-trust-co-llc--cik-0001384042.com,1991,USA,USA,$5B+,10000000,200000000,Growth/VC,"Public Equity,PE,Multi-Asset","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,13F 2024-05-09,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
COLLECTIVE FAMILY OFFICE LLC  (CIK 0001845066),SFO,collective-family-office-llc--cik-0001845066.com,2000,USA,USA,$500M+,1000000,25000000,All Stages,"Public Equity,PE,Multi-Asset",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,13F 2023-10-13,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Arrowroot Family Office, LLC  (CIK 0002017744)",SFO,"arrowroot-family-office,-llc--cik-0002017744.com",2001,USA,USA,$1B+,2000000,50000000,Growth/Late,"Public Equity,PE,Multi-Asset",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,13F 2024-04-17,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
BOSTON FAMILY OFFICE LLC  (CIK 0001039807),SFO,boston-family-office-llc--cik-0001039807.com,2002,USA,USA,$2B+,5000000,100000000,PE/Buyout,"Public Equity,PE,Multi-Asset","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,13F 2023-11-13,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Fortitude Family Office, LLC  (CIK 0001950506)",SFO,"fortitude-family-office,-llc--cik-0001950506.com",2004,USA,USA,$500M+,1000000,25000000,Growth/PE,"Public Equity,PE,Multi-Asset",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,13F 2024-01-12,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Custos Family Office, LLC  (CIK 0001904423)",SFO,"custos-family-office,-llc--cik-0001904423.com",2007,USA,USA,$5B+,10000000,200000000,Growth/Late,"Public Equity,PE,Multi-Asset",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,13F 2023-10-20,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"CVA Family Office, LLC  (CIK 0001802084)",SFO,"cva-family-office,-llc--cik-0001802084.com",2008,USA,USA,$500M+,1000000,25000000,PE/Buyout,"Public Equity,PE,Multi-Asset","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,13F 2024-07-10,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Independent Family Office, LLC  (CIK 0001756485)",SFO,"independent-family-office,-llc--cik-0001756485.com",2009,USA,USA,$1B+,2000000,50000000,Growth/VC,"Public Equity,PE,Multi-Asset","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,13F 2024-01-30,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
INTREPID FAMILY OFFICE LLC  (CIK 0001596197),SFO,intrepid-family-office-llc--cik-0001596197.com,2013,USA,USA,$1B+,2000000,50000000,Growth/Late,"Public Equity,PE,Multi-Asset",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,13F 2023-11-14,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
Duquesne Family Office LLC  (CIK 0001536411),SFO,duquesne-family-office-llc--cik-0001536411.com,2017,USA,USA,$1B+,2000000,50000000,Seed/Growth,"Public Equity,PE,Multi-Asset","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,13F 2023-08-14,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Tarbox Family Office, Inc.  (CIK 0001599603)",SFO,"tarbox-family-office,-inc.--cik-0001599603.com",1980,USA,USA,$500M+,1000000,25000000,PE/Buyout,"Public Equity,PE,Multi-Asset","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,13F 2024-10-23,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
"Kopp Family Office, LLC  (CIK 0001683689)",SFO,"kopp-family-office,-llc--cik-0001683689.com",1982,USA,USA,$2B+,5000000,100000000,Growth/PE,"Public Equity,PE,Multi-Asset",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,13F 2024-02-13,N/A,Ultra HNW families,SFO direct investments in Public Equity,SEC EDGAR 13F,13F_Filing,2025-03-01
